nom_norm,code_postal,code_insee,lat,lon,population,dept
BRETIGNOLLES,79140,79050,46.87240,-0.59260,592,79
BRETIGNOLLES SUR MER,85470,85035,46.63090,-1.87130,5344,85
BRETIGNY,21490,21107,47.39590,5.09810,922,21
BRETIGNY,27800,27113,49.21380,0.66440,141,27
BRETIGNY,60400,60105,49.55750,3.11230,435,60
BRETIGNY SUR ORGE,91220,91103,48.60100,2.29890,26658,91
BRETONCELLES,61110,61061,48.43880,0.90550,1455,61
BRETONVILLERS,25380,25095,47.21640,6.61860,280,25
BRETTE,26340,26062,44.58740,5.32540,29,26
BRETTE LES PINS,72250,72047,47.91180,0.32770,2131,72
BRETTEN,68780,68052,47.70610,7.06350,184,68
BRETTES,16240,16059,45.99750,0.02600,162,16
BRETTEVILLE,50110,50077,49.65140,-1.50840,1027,50
BRETTEVILLE DU GRAND CAUX,76110,76143,49.66360,0.38780,1405,76
BRETTEVILLE LE RABET,14190,14097,49.02940,-0.25820,297,14
BRETTEVILLE SAINT LAURENT,76560,76144,49.76820,0.86670,163,76
BRETTEVILLE SUR AY,50430,50078,49.25510,-1.62670,444,50
BRETTEVILLE SUR LAIZE,14680,14100,49.04810,-0.32370,1910,14
BRETTEVILLE SUR ODON,14760,14101,49.17280,-0.42120,4494,14
BRETTNACH,57320,57110,49.25820,6.55940,429,57
BRETX,31530,31089,43.70660,1.19790,673,31
BREUCHES,70300,70093,47.80460,6.32830,657,70
BREUCHOTTE,70280,70094,47.82880,6.45930,299,70
BREUGNON,58460,58038,47.42810,3.45760,153,58
BREUIL,80400,80139,49.73830,2.94750,45,80
BREUIL BOIS ROBERT,78930,78104,48.94470,1.71290,764,78
BREUIL LA REORTE,17700,17063,46.06310,-0.69230,470,17
BREUIL LE SEC,60840,60106,49.37900,2.45670,2467,60
BREUIL LE VERT,60600,60107,49.36290,2.41900,3183,60
BREUIL MAGNE,17870,17065,45.99440,-0.96600,1926,17
BREUIL SUR VESLE,51140,51086,49.30280,3.76860,325,51
BREUILAUFA,87300,87022,46.04150,1.10570,119,87
BREUILLET,17920,17064,45.70050,-1.05400,3058,17
BREUILLET,91650,91105,48.57160,2.16440,9157,91
BREUILPONT,27640,27114,48.96570,1.43980,1201,27
BREUREY LES FAVERNEY,70160,70095,47.74470,6.14840,588,70
BREUSCHWICKERSHEIM,67112,67065,48.57790,7.59880,1344,67
BREUVANNES EN BASSIGNY,52240,52074,48.08620,5.61760,632,52
BREUVERY SUR COOLE,51240,51087,48.85400,4.30320,207,51
BREUVILLE,50260,50079,49.53750,-1.66430,406,50
BREUX,55600,55077,49.59300,5.39620,258,55
BREUX JOUY,91650,91106,48.55100,2.16010,1285,91
BREUX SUR AVRE,27570,27115,48.76880,1.07550,326,27
BREVAINVILLE,41160,41026,47.94770,1.26120,159,41
BREVAL,78980,78107,48.95670,1.54020,2151,78
BREVANS,39100,39078,47.10230,5.52460,668,39
BREVES,58530,58039,47.42990,3.62230,258,58
BREVIANDES,10450,10060,48.25680,4.10490,3219,10
